timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
318;MocafeStateMocafeState<-46994, 23505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1109293370.0;0.0;-221858674.0;true
319;MocafeStateMocafeState<-47194, 23605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1118733770.0;0.0;-223746754.0;true
320;MocafeStateMocafeState<-47394, 23705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1128214170.0;0.0;-225642834.0;true
321;MocafeStateMocafeState<-47594, 23805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1137734570.0;0.0;-227546914.0;true
322;MocafeStateMocafeState<-47794, 23905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1147294970.0;0.0;-229458994.0;true
323;MocafeStateMocafeState<-47994, 24005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1156895370.0;0.0;-231379074.0;true
324;MocafeStateMocafeState<-48194, 24105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1166535770.0;0.0;-233307154.0;true
325;MocafeStateMocafeState<-48394, 24205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1176216170.0;0.0;-235243234.0;true
326;MocafeStateMocafeState<-48594, 24305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1185936570.0;0.0;-237187314.0;true
327;MocafeStateMocafeState<-48794, 24405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1195696970.0;0.0;-239139394.0;true
328;MocafeStateMocafeState<-48994, 24505.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-1195698570.0;0.0;-239139714.0;false
329;MocafeStateMocafeState<-48794, 24405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1195696970.0;0.0;-239139394.0;true
330;MocafeStateMocafeState<-48994, 24505.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-1195698570.0;0.0;-239139714.0;false
